2025-07-08 13:47:55,836 > n
2025-07-08 13:47:55,895 > Key.space
2025-07-08 13:47:56,033 > t
2025-07-08 13:47:56,130 > h
2025-07-08 13:47:56,245 > e
2025-07-08 13:47:56,275 > Key.space
2025-07-08 13:47:56,505 > b
2025-07-08 13:47:56,635 > a
2025-07-08 13:47:56,774 > c
2025-07-08 13:47:56,880 > k
2025-07-08 13:47:57,453 > Key.backspace
2025-07-08 13:47:57,522 > g
2025-07-08 13:47:58,420 > r
2025-07-08 13:47:58,677 > o
2025-07-08 13:47:58,788 > u
2025-07-08 13:47:58,919 > d
2025-07-08 13:47:59,069 > Key.enter
2025-07-08 13:48:08,491 > Key.alt
2025-07-08 13:48:08,546 > Key.tab
2025-07-08 13:48:09,239 > p
2025-07-08 13:48:09,360 > s
2025-07-08 13:48:09,452 > Key.space
2025-07-08 13:48:10,752 > a
2025-07-08 13:48:10,927 > u
2025-07-08 13:48:11,166 > x
2025-07-08 13:48:11,564 > Key.space
2025-07-08 13:48:12,048 > Key.shift
2025-07-08 13:48:12,422 > }
2025-07-08 13:48:13,193 > Key.backspace
2025-07-08 13:48:13,398 > |
2025-07-08 13:48:13,622 > Key.space
2025-07-08 13:48:13,874 > Key.alt
2025-07-08 13:48:13,966 > Key.tab
2025-07-08 13:48:14,844 > Key.alt
2025-07-08 13:48:14,913 > Key.tab
2025-07-08 13:48:15,557 > g
2025-07-08 13:48:15,730 > r
2025-07-08 13:48:15,826 > e
2025-07-08 13:48:15,947 > p
2025-07-08 13:48:16,059 > Key.space
2025-07-08 13:48:16,282 > y
2025-07-08 13:48:16,710 > Key.backspace
2025-07-08 13:48:16,947 > p
2025-07-08 13:48:17,041 > y
2025-07-08 13:48:17,195 > t
2025-07-08 13:48:17,278 > h
2025-07-08 13:48:17,309 > o
2025-07-08 13:48:17,422 > n
2025-07-08 13:48:17,602 > Key.enter
2025-07-08 13:48:25,106 > Key.esc
2025-07-08 13:48:25,268 > Keylogger terminated
